CVR,Organisationsnavn,Note,Hjemmeside,Kategorier v. metodeworkshop,Privat vandværk,Rådgiver,Producent/Leverandør,Vand,Klimatilpasning,"Affald, ressourcer & materialer",Luft,Natur,Aktørgruppe,  Vand i rør 💧,"Jord, Vand og Natur 🌎 ",Klimatilpasning 🌊,Luft 💨,Materialer og Ressourcer ♻️,Status,Type,Type forkortelse,Antal ansatte,Antal ansatte (interval),Brachekode,Branche,Formål,Adresse,By,Kommune,Postnummer,Region,Land,Latitude,Longitude,Kilde,Metode
31050251,1:1 LANDSKAB ApS,,https://1til1landskab.dk/,Kernen,,,,,1,,,,Arkitekter (Klimatilpasning),,,Klimatilpasning i byer,,,NORMAL,Anpartsselskab,APS,18,okt-19,711100,Arkitektvirksomhed,Selskabets formål er at drive landskabsarkitektvirksomhed og dermed efter ledelsens vurdering beslægtet virksomhed.,"Trekronergade 149A 3., 2500 Valby",Valby,København,2500,Region Hovedstaden,Danmark,55.652251,12.520753,State of Green,Søgning
30493540,1ST MILE ApS,,https://1stmile.dk/,Kernen,,1,,1,1,1,1,1,"Rådgivere (luft);
Rådgivere (Klimatilpasning);
Rådgivere (Materialer og ressourcer);
Rådgivere (Vand i rør);
Rådgivere (Jord, Vand og Natur)",,,,,,NORMAL,Anpartsselskab,APS,5,05-sep,711290,Anden teknisk rådgivning,Selskabets formål består i at drive rådgivningsvirksomhed og hermed beslægtet virksomhed,"Diplomvej 381, 2800 Kgs. Lyngby",Kgs. Lyngby,Lyngby-Taarbæk,2800,Region Hovedstaden,Danmark,55.782865,12.512846,CLEAN medlem,Opslag
33599692,2WATER ApS,,https://www.2water.dk/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Spildevandsbehandling → Tanke og rørføring til spildevanddistribution og lagring;
Vandforsyning → Tanke og rørføring til vanddistribution og lagring;
Spildevandsbehandling → Rensningsløsninger til offentlige spildevandsanlæg og industri",,,,,NORMAL,Anpartsselskab,APS,20,20-49,282900,Fremstilling af andre maskiner til generelle formål i.a.n.,Selskabets formål er smedevirksomhed og anden dermed relateret virksomhed,"Fuglesangsalle 16, 6600 Vejen",Vejen,Vejen,6600,Region Syddanmark,Danmark,55.46314,9.135826,DI medlemsforening: DI fremstillingsindustrien,Opslag
26282179,3P TECHNOLOGY ApS,,https://3ptechnology.com/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),"Vandforsyning → SRO, sensorer, flowmålere og digitale løsninger tilknyttet vandforsyning",,,,Diverse serviceløsninger → Intelligent affaldsindsamling,NORMAL,Anpartsselskab,APS,15,okt-19,432100,El-installation,Selskabets formål er at udføre elinstallationsarbejder og dermed beslægtet virksomhed.,"Skivevej 2, 7500 Holstebro",Holstebro,Holstebro,7500,Region Midtjylland,Danmark,56.363699,8.62205,Inno-MT medlemmer,Opslag
26111587,3TECH AUTOMATION A/S,,https://3tech.dk/,Kernen,,,1,,,,1,,Luftindustrien (luft),,,,Emisioner fra øvrig industri → Måle og sensorløsninger,,NORMAL,Aktieselskab,A/S,23,20-49,711220,Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik,Selskabets formål er rådgivende ingeniørvirksomhed inden for automationsbranchen.,"Lumbyesvej 27, 7000 Fredericia",Fredericia,Fredericia,7000,Region Syddanmark,Danmark,55.572629,9.726939,Odense Robotics,Søgning
42020281,4B Consulting ApS,,https://4bc.dk/,Kernen,,1,,,,1,1,,"Rådgivere (luft);
Rådgivere (Materialer og ressourcer)",,,,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner",,NORMAL,Anpartsselskab,APS,1,01-jan,711290,Anden teknisk rådgivning,"Selskabets formål er at drive virksomhed med konsulent- og rådgivningsydelser inden for social, miljømæssig, økonomisk og digital bæredygtighed.","c/o Jakob Nørby, Harebakken 10, 8382 Haldum",Hinnerup,Favrskov,8382,Region Midtjylland,Danmark,56.274525,10.044966,DigitalLead,Søgning
35067736,4greenArchitecture,,http://4greenbuilding.com/,Kernen,,1,,,,1,1,,"Rådgivere (Materialer og ressourcer);
Rådgivere (luft)",,,,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner",Innovative cirkulære produkter,Aktiv,Enkeltmandsvirksomhed,ENK,,0-0,711100,Arkitektvirksomhed,,"c/o SC-adresse, Lyseng Allé 1, 8270 Højbjerg",Højbjerg,Aarhus,8270,Region Midtjylland,Danmark,56.109614,10.205727,Inno-MT medlemmer,Opslag
32779212,4-Leaf Consulting A/S,,https://www.4-leaf-consulting.com/,Kernen,,1,,,,,1,,Rådgivere (luft),,,,Emissioner fra skibsfart,,NORMAL,Aktieselskab,A/S,1,01-jan,620200,Konsulentbistand vedrørende informationsteknologi,1.2. Selskabets formål er at drive virksomhed og bistå med den grønne omstilling gennem levering af konsulentydelser og løsninger indenfor vedvarende energi samt hermed beslægtet virk-somhed efter bestyrelsens skøn.,"c/o Jesper Østergaard, Carolinevej 26 1., 2900 Hellerup",Hellerup,Gentofte,2900,Region Hovedstaden,Danmark,55.728982,12.58054,Gate 21,Søgning
39267926,4Life Solutions ApS,,https://4lifesolutions.com/,Kernen,,,1,1,,,,,Vandindustrien (Vand i rør),Vandforbrug (forbruger) → Vandbesparende og recirkluerende løsnigner rettet forbrugeren,,,,,NORMAL,Anpartsselskab,APS,11,okt-19,275200,Fremstilling af ikke-elektriske husholdningsapparater,Selskabets formål er at udvikle og sælge lavpris vandrensningssystemer til udviklingslande og hermed beslægtet virksomhed.,"c/o SolarSack, Fruebjergvej 3, 2100 København Ø",København Ø,København,2100,Region Hovedstaden,Danmark,55.715601,12.549063,Innovationsfonden - miljøteknik,Opslag
30811097,5E BYG A/S,,https://www.5e-byg.dk/,Kernen,,1,,,1,1,1,,"Rådgivere (luft);
Rådgivere (Klimatilpasning);
Rådgivere (Materialer og ressourcer)",,,Klimatilpasning i byer,"Indeklima i boliger, arbejdspladser og udannelsesinstitutioner",Diverse serviceløsninger,NORMAL,Aktieselskab,A/S,89,50-99,412000,Opførelse af bygninger,"Selskabets formål er køb og salg af fast ejendom, projektudvikling, entreprise samt enhver i forbindelse hermed beslægtet virksomhed.","Wichmandsgade 5, 5000 Odense C",Odense C,Odense,5000,Region Syddanmark,Danmark,55.403139,10.374933,DI medlemsforening: Bygningsentreprenørsektionen,Søgning
